partnerid,stream,deploy_date
100,1,4/17/16
100,2,4/17/16
100,3,4/17/16
100,4,4/17/16
101,1,10/14/15
101,2,10/14/15
101,3,10/15/15
101,4,10/15/15
1,1,9/7/15
1,2,9/7/15
1,3,9/7/15
1,4,9/7/15
82,1,1/21/16
82,2,1/21/16
82,3,1/21/16
82,4,1/21/16
2,1,10/6/15
2,2,10/6/15
2,3,10/6/15
2,4,10/6/15
3,1,9/25/15
3,2,9/25/15
3,3,9/26/15
3,4,9/26/15
83,1,9/26/15
83,2,9/26/15
83,3,9/26/15
83,4,9/26/15
4,1,3/28/16
4,2,3/28/16
4,3,3/28/16
5,1,10/7/15
5,2,10/7/15
5,3,10/7/15
5,4,10/7/15
6,1,2/11/16
6,2,2/11/16
6,3,2/11/16
6,4,2/12/16
7,1,8/20/15
7,2,8/20/15
7,3,8/20/15
7,4,8/20/15
102,1,9/29/15
102,2,9/29/15
102,3,9/30/15
102,4,9/30/15
103,1,10/31/15
103,2,10/31/15
103,3,11/5/15
103,4,11/5/15
103,5,2/10/16
103,6,2/10/16
103,7,
103,8,
8,1,9/27/15
8,2,9/27/15
8,3,9/27/15
8,4,9/27/15
9,1,9/18/15
9,2,9/18/15
9,3,9/18/15
9,4,9/18/15
104,1,11/3/15
104,2,11/3/15
104,3,11/3/15
104,4,11/3/15
10,1,10/9/15
10,2,10/9/15
10,3,10/10/15
10,4,10/10/15
105,1,9/28/15
105,2,9/28/15
105,3,9/28/15
105,4,9/28/15
11,1,10/9/15
11,2,10/9/15
11,3,10/9/15
11,4,10/9/15
12,1,10/17/15
12,2,10/17/15
12,3,10/17/15
12,4,10/17/15
13,1,11/3/15
13,2,11/3/15
13,3,11/3/15
13,4,11/3/15
14,1,10/7/15
14,2,10/8/15
14,3,10/8/15
14,4,10/8/15
15,1,5/21/16
15,2,5/19/16
15,3,5/23/15
15,4,5/22/16
106,1,8/21/15
106,2,8/21/15
106,3,8/21/15
106,4,8/21/15
107,1,12/17/15
107,2,12/17/15
107,3,12/17/15
107,4,12/17/16
16,1,11/12/15
16,2,11/12/15
16,3,11/18/15
16,4,11/18/15
84,1,10/14/15
84,2,10/5/15
84,3,10/10/15
84,4,10/10/15
85,1,7/12/15
85,2,7/12/15
85,3,7/12/15
85,4,7/12/15
85,5,6/5/15
85,6,6/5/15
85,7,6/5/15
85,8,6/5/15
86,1,9/22/15
86,2,9/22/15
86,3,9/22/15
86,4,9/22/15
17,1,11/5/15
17,2,11/11/15
17,3,11/11/15
17,4,11/13/15
108,1,9/29/15
108,2,9/29/15
108,3,9/29/15
108,4,9/29/15
87,1,3/31/16
87,2,3/31/16
87,3,3/31/16
87,4,3/31/16
18,1,10/12/15
18,2,10/12/15
18,3,10/12/15
18,4,10/12/15
19,1,11/9/15
19,2,11/9/15
19,3,11/9/15
19,4,11/9/15
88,1,10/22/15
88,2,10/22/15
88,3,10/22/15
88,4,10/22/15
89,1,11/17/15
89,2,11/17/15
89,3,11/17/15
89,4,11/18/15
109,1,11/4/15
109,2,11/4/15
109,3,11/4/15
109,4,11/4/15
110,1,10/14/15
110,2,10/14/15
110,3,10/16/15
110,4,10/16/15
111,1,11/24/15
111,2,11/24/15
111,3,11/24/15
111,4,11/24/15
112,1,9/30/15
112,2,9/30/15
112,3,9/30/15
112,4,9/30/15
20,1,10/3/15
20,2,10/3/15
20,3,10/3/15
20,4,10/3/15
21,1,11/4/15
21,2,11/4/15
21,3,11/4/15
21,4,11/4/15
22,1,9/3/15
22,2,9/3/15
22,3,9/3/15
22,4,9/3/15
23,1,6/16/16
23,2,6/16/16
23,3,6/16/16
23,4,6/16/16
25,1,11/2/15
25,2,11/3/15
25,3,11/3/15
25,4,11/3/15
26,1,9/2/15
26,2,9/2/15
26,3,9/3/15
26,4,9/3/15
27,1,10/14/15
27,2,10/14/15
27,3,10/14/15
27,4,10/14/15
28,1,11/29/15
28,2,11/29/15
28,3,11/29/15
29,1,8/4/15
29,2,8/4/15
29,3,8/5/15
29,4,8/5/15
30,1,8/20/15
30,2,8/20/15
30,3,8/20/15
30,4,8/20/15
113,1,11/8/15
113,2,11/8/15
113,3,11/8/15
113,4,11/8/15
114,1,6/16/15
114,2,6/16/15
114,3,6/16/15
114,4,6/16/15
31,1,10/26/15
31,2,10/26/15
31,3,10/26/15
31,4,
32,1,10/1/15
32,2,10/1/15
