Latitude (N),Longitude (E),ng/m2/s,TP mg m-2 yr-1,Citation,Notes
54.25,2.75,2.22,70.0188,"Graham and Duce, 1979",Table 4
11,8,8.24,259.8896,"Graham and Duce, 1979",Table 5
42.5,8.75,1.27,40.0558,"Bergametti et al., 1992",Corsica
51,10,0.48,15.1392,"Graham and Duce, 1979",Table 4
51,10,0.73,23.0242,"Graham and Duce, 1979",Table 4
45,10,4.76,150.1304,"Graham and Duce, 1979",Table 4
45.19,10.88,1.14,35.9556," Psenner, 1984; Tsuka et al., 2006 "," Piburger See, Austria "
59.55,12.9,0.25,7.885," Persson and Broberg, 1985; Tsuka et al 2006 "," Lake Gardsjon, Sweden "
53.25,13,1.43,45.1022," Mothes et el., 1985; Tsuka et al., 2006 "," Lake Stechlin, Germany "
48.8,14.47,0.76,23.9704," Kopacek et al., 1997; Tsuka et al., 2006"," Rimov Reservoir, Czech Republic "
58,14.5,0.22,6.9388,"Graham and Duce, 1979",Table 4
49.5,14.5,0.48,15.1392," Kopacek et al., 1997; Tsuka et al., 2006 "," Slapy Reservoir, Czech Republic "
61,15,0.86,27.1244,"Graham and Duce, 1979",Table 4
61,15,2.22,70.0188,"Graham and Duce, 1979",Table 4
49,17,0.13,4.1002,"Graham and Duce, 1979",Table 4
59,18,0.63,19.8702,"Graham and Duce, 1979",Table 4
52,19,1.9,59.926,"Graham and Duce, 1979",Table 4
-29,32,13.64,430.2056,"Graham and Duce, 1979",Table 5
11,76,15.22,480.0388,"Graham and Duce, 1979",Table 5
43.5,82.5,0.86,27.1244,"Graham and Duce, 1979",Table 3
35,135,0.77,24.2858,"Tsuka et al., 2006"," Ashiu, Japan "
-34.5,173,0.48,15.1392,"Chen et al., 1985",New Zealand
-38.5,176,0.89,28.0706,"Graham and Duce, 1979",Table 5
-38.5,176,0.7,22.078,"Graham and Duce, 1979",Table 5
54.5,-133.5,0.64,20.1856," Shaw et al., 1989; Tsuka et al., 2006 "," Narrow Lake, Alberta, CA"
43,-124,0.86,27.1244,"Graham and Duce, 1979",Table 3
47.5,-122.5,4.76,150.1304,"Graham and Duce, 1979",Table 3
47.5,-122.5,0.95,29.963,"Graham and Duce, 1979",Table 3
39.1,-120,0.79,24.9166,"Jassby et al.,1994",California
35.2,-97.25,3.4,107.236," Johnson and Risser, 1974; Tsuka et al., 2006 "," Lake Thunderbird, Oklahoma, USA "
36.27,-97.08,1.92,60.5568," Sober and Bates, 1979; Tsuka et al., 2006 "," Lake Carl Blackwell, Oklahoma, USA "
