Rivers,Strip ID,Location ,Replication ,Tensile strength ,Tensile loss per day,Lat,Long,Altitude (m),Temp C,Conductivity us/m,TDS (mg/l),DO (mg/l),pH,Turbidity (NTU),ORP,Flow rate (m/s),Cross-section (m2),Discharge (m3/s)
Mathare River,9MR,Riparian Downstream,1,51.8,-1.565626548,-1.243052,36.897098,1575,19.48,658,478,2.5,11.21,158,65.9,1.71,2,3.42
Mathare River,9MR,Riparian Downstream,2,42.2,-1.090143635,-1.243052,36.897098,1575,19.48,658,478,2.5,11.21,158,65.9,1.71,2,3.42
Mathare River,9MR,Riparian Upstream ,1,64.6,-2.199603764,-1.243052,36.897098,1575,19.48,658,478,2.5,11.21,158,65.9,1.71,2,3.42
Mathare River,9MR,Riparian Upstream ,2,57.7,-1.857850421,-1.243052,36.897098,1575,19.48,658,478,2.5,11.21,158,65.9,1.71,2,3.42
Mathare River,9MR,In water Upstream ,1,0,1,-1.243052,36.897098,1575,19.48,658,478,2.5,11.21,158,65.9,1.71,2,3.42
Nairobi River,1NR,In water Upstream ,1,24.1,-0.193660228,-1.2525962,36.6630914,2000,17.87,265,200,1.44,3.71,0.34,204,0.35,0.9,0.31
Nairobi River,1NR,In water Upstream ,2,21.8,-0.079742447,-1.2525962,36.6630914,2000,17.87,265,200,1.44,3.71,0.34,204,0.35,0.9,0.31
Nairobi River,1NR,Riparian Downstream,1,47.7,-1.362555721,-1.2525962,36.6630914,2000,17.87,265,200,1.44,3.71,0.34,204,0.35,0.9,0.31
Nairobi River,1NR,Riparian Upstream ,1,34.2,-0.693907875,-1.2525962,36.6630914,2000,17.87,265,200,1.44,3.71,0.34,204,0.35,0.9,0.31
Nairobi River,1NR,Riparian Upstream ,2,13.5,0.331352155,-1.2525962,36.6630914,2000,17.87,265,200,1.44,3.71,0.34,204,0.35,0.9,0.31
Nairobi River,1NR,In water Downstream,1,22.8,-0.129271917,-1.2525962,36.6630914,2000,17.87,265,200,1.44,3.71,0.34,204,0.35,0.9,0.31
Nairobi River,1NR,Riparian Downstream,2,48,-1.377414562,-1.2525962,36.6630914,2000,17.87,265,200,1.44,3.71,0.34,204,0.35,0.9,0.31
Nairobi River,4NR,Riparian Upstream ,1,63.7,-2.155027241,-1.275533,36.814865,1666,19.55,680,494,6.6,4.31,37.86,552.5,0.96,1.59,1.52
Nairobi River,4NR,Riparian Upstream ,2,54.9,-1.719167905,-1.275533,36.814865,1666,19.55,680,494,6.6,4.31,37.86,552.5,0.96,1.59,1.52
Nairobi River,4NR,Riparian Downstream,1,38.7,-0.91679049,-1.275533,36.814865,1666,19.55,680,494,6.6,4.31,37.86,552.5,0.96,1.59,1.52
Nairobi River,4NR,Riparian Downstream,2,40.6,-1.010896483,-1.275533,36.814865,1666,19.55,680,494,6.6,4.31,37.86,552.5,0.96,1.59,1.52
Nairobi River,4NR,In water Upstream ,1,2.3,0.886082219,-1.275533,36.814865,1666,19.55,680,494,6.6,4.31,37.86,552.5,0.96,1.59,1.52
Nairobi River,4NR,In water Upstream ,2,3,0.85141159,-1.275533,36.814865,1666,19.55,680,494,6.6,4.31,37.86,552.5,0.96,1.59,1.52
Nairobi River,4NR,In water Downstream,1,2.4,0.881129272,-1.275533,36.814865,1666,19.55,680,494,6.6,4.31,37.86,552.5,0.96,1.59,1.52
Nairobi River,8NR,Riparian Upstream ,1,56.6,-1.803368004,-1.243828,36.897307,1576,19.02,854,625,1.48,6.49,99.5,58,1,2.7,2.7
Nairobi River,8NR,Riparian Upstream ,2,48,-1.377414562,-1.243828,36.897307,1576,19.02,854,625,1.48,6.49,99.5,58,1,2.7,2.7
Nairobi River,8NR,Riparian Downstream,1,43,-1.129767211,-1.243828,36.897307,1576,19.02,854,625,1.48,6.49,99.5,58,1,2.7,2.7
Nairobi River,8NR,Riparian Downstream,2,60.1,-1.976721149,-1.243828,36.897307,1576,19.02,854,625,1.48,6.49,99.5,58,1,2.7,2.7
Nairobi River,8NR,In water Downstream,1,0,1,-1.243828,36.897307,1576,19.02,854,625,1.48,6.49,99.5,58,1,2.7,2.7
Ragati River,1RR,Riparian Upstream ,1,44.7,-1.213967311,-0.383066,37.158568,,,,,,,,,,,1.904
Ragati River,1RR,Riparian Upstream ,2,37,-0.832590391,-0.383066,37.158568,,,,,,,,,,,1.904
Ragati River,1RR,In water Downstream,1,2.8,0.861317484,-0.383066,37.158568,,,,,,,,,,,1.904
Ragati River,1RR,In water Upstream ,1,3.9,0.806835067,-0.383066,37.158568,,,,,,,,,,,1.904
Ragati River,1RR,In water Downstream,2,4.3,0.787023279,-0.383066,37.158568,,,,,,,,,,,1.904
Ragati River,1RR,Riparian Downstream,1,42.4,-1.100049529,-0.383066,37.158568,,,,,,,,,,,1.904
Ragati River,1RR,In water Upstream ,2,4.2,0.791976226,-0.383066,37.158568,,,,,,,,,,,1.904
Ragati River,1RR,Riparian Downstream,2,2.2,0.891035166,-0.383066,37.158568,,,,,,,,,,,1.904
Ragati River,2RR,In water Downstream,1,5.5,0.727587915,-0.48617,37.14902,,,,,,,,,,,6.144
Ragati River,2RR,In water Downstream,2,0.3,0.985141159,-0.48617,37.14902,,,,,,,,,,,6.144
Ragati River,2RR,Riparian Upstream ,1,31.4,-0.555225359,-0.48617,37.14902,,,,,,,,,,,6.144
Ragati River,2RR,Riparian Upstream ,2,50.5,-1.501238237,-0.48617,37.14902,,,,,,,,,,,6.144
Ragati River,2RR,Riparian Downstream,1,20.7,-0.02526003,-0.48617,37.14902,,,,,,,,,,,6.144
Ragati River,2RR,Riparian Downstream,2,58.7,-1.907379891,-0.48617,37.14902,,,,,,,,,,,6.144
