Sorting code,Leaf condition
1,senesced
2,senesced
3,senesced
4,senesced
5,senesced
6,senesced
7,senesced
8,senesced
9,senesced
10,senesced
11,unknown
12,unknown
13,unknown
14,unknown
15,unknown
16,unknown
17,unknown
18,unknown
19,senesced
20,senesced
21,senesced
22,senesced
23,senesced
24,senesced
25,senesced
26,senesced
27,senesced
28,senesced
29,senesced
30,senesced
31,senesced
32,senesced
33,senesced
34,senesced
35,senesced
36,senesced
37,senesced
38,senesced
39,senesced
40,senesced
41,senesced
42,senesced
43,senesced
44,senesced
45,senesced
46,senesced
47,senesced
48,senesced
49,senesced
50,senesced
51,senesced
52,senesced
53,senesced
54,senesced
55,senesced
56,senesced
57,senesced
58,senesced
59,senesced
60,senesced
61,senesced
62,senesced
63,senesced
64,senesced
65,senesced
66,senesced
67,senesced
68,senesced
69,senesced
70,senesced
71,senesced
72,senesced
73,senesced
74,senesced
75,senesced
76,senesced
77,senesced
78,green 
79,senesced
80,senesced
81,senesced
82,senesced
83,senesced
84,senesced
85,senesced
86,senesced
87,senesced
88,senesced
89,senesced
90,senesced
91,green 
92,senesced
93,green 
94,senesced
95,senesced
96,senesced
97,senesced
98,senesced
99,senesced
100,senesced
101,senesced
102,senesced
103,senesced
104,senesced
105,senesced
106,senesced
107,senesced
108,senesced
109,senesced
110,senesced
111,senesced
112,senesced
113,senesced
114,senesced
115,senesced
116,senesced
117,senesced
118,senesced
119,senesced
120,senesced
121,senesced
122,senesced
123,senesced
124,senesced
125,senesced
126,senesced
127,senesced
128,senesced
129,senesced
130,senesced
131,senesced
132,senesced
133,green 
134,senesced
135,senesced
136,green 
137,senesced
138,mixed
139,mixed
140,mixed
141,senesced
142,senesced
143,senesced
144,senesced
145,senesced
146,senesced
147,senesced
148,senesced
149,senesced
150,senesced
151,senesced
152,senesced
153,senesced
154,senesced
155,senesced
156,senesced
157,senesced
158,senesced
159,senesced
160,senesced
161,senesced
162,senesced
163,senesced
164,senesced
165,senesced
166,senesced
167,senesced
168,senesced
169,senesced
170,senesced
171,senesced
172,senesced
173,senesced
174,senesced
175,senesced
176,senesced
177,senesced
178,senesced
179,senesced
180,senesced
181,senesced
182,senesced
183,senesced
184,senesced
185,senesced
186,senesced
187,senesced
188,senesced
189,senesced
190,senesced
191,senesced
192,senesced
193,senesced
194,senesced
195,senesced
196,senesced
197,senesced
198,senesced
199,senesced
200,senesced
201,senesced
202,senesced
203,senesced
204,senesced
205,senesced
206,senesced
207,senesced
208,senesced
209,senesced
210,senesced
211,senesced
212,senesced
213,senesced
214,senesced
215,green 
216,green 
217,green 
218,green 
219,green 
220,green 
221,green 
222,green 
223,green 
224,green 
225,senesced
226,senesced
227,senesced
228,senesced
229,senesced
230,senesced
231,senesced
232,senesced
233,senesced
234,senesced
235,senesced
236,senesced
237,senesced
238,senesced
239,senesced
240,senesced
241,senesced
242,senesced
243,senesced
244,senesced
245,senesced
246,senesced
247,senesced
248,senesced
249,senesced
250,senesced
251,senesced
252,senesced
253,senesced
254,senesced
255,senesced
256,senesced
257,senesced
258,senesced
259,senesced
260,senesced
261,senesced
262,senesced
263,senesced
264,senesced
265,senesced
266,senesced
267,senesced
268,senesced
269,senesced
270,senesced
271,senesced
272,senesced
273,senesced
274,senesced
275,senesced
276,senesced
277,senesced
278,senesced
279,senesced
280,senesced
281,senesced
282,senesced
283,senesced
284,senesced
285,senesced
286,senesced
287,senesced
288,senesced
289,senesced
290,senesced
291,senesced
292,senesced
293,senesced
294,senesced
295,senesced
296,senesced
297,senesced
298,senesced
299,senesced
300,senesced
301,senesced
302,senesced
303,senesced
304,senesced
305,senesced
306,senesced
307,senesced
308,senesced
309,senesced
310,senesced
311,senesced
312,senesced
313,senesced
314,senesced
315,senesced
316,senesced
317,senesced
318,senesced
319,senesced
320,senesced
321,senesced
322,senesced
323,senesced
324,senesced
325,senesced
326,senesced
327,senesced
328,senesced
329,senesced
330,senesced
331,senesced
332,senesced
333,senesced
334,senesced
335,senesced
336,senesced
337,senesced
338,senesced
339,senesced
340,senesced
341,senesced
342,senesced
343,senesced
344,senesced
345,senesced
346,senesced
347,senesced
348,senesced
349,senesced
350,senesced
351,senesced
352,senesced
353,senesced
354,senesced
355,senesced
356,senesced
357,senesced
358,senesced
359,senesced
360,senesced
361,senesced
362,senesced
363,senesced
364,senesced
365,senesced
366,senesced
367,senesced
368,senesced
369,senesced
370,senesced
371,senesced
372,senesced
373,senesced
374,senesced
375,senesced
376,senesced
377,senesced
378,senesced
379,senesced
380,senesced
381,senesced
382,senesced
383,green 
384,green 
385,green 
386,green 
387,green 
388,green 
389,senesced
390,senesced
391,senesced
392,senesced
393,senesced
394,senesced
395,senesced
396,senesced
397,senesced
398,senesced
399,senesced
400,senesced
401,senesced
402,senesced
403,senesced
404,senesced
405,senesced
406,senesced
407,senesced
408,senesced
409,senesced
410,senesced
411,senesced
412,senesced
413,senesced
414,senesced
415,senesced
416,senesced
417,senesced
418,senesced
419,senesced
420,senesced
421,senesced
422,senesced
423,senesced
424,senesced
425,senesced
426,senesced
427,senesced
428,senesced
429,senesced
430,senesced
431,senesced
432,senesced
433,senesced
434,senesced
435,senesced
436,senesced
437,senesced
438,senesced
439,senesced
440,senesced
441,senesced
442,senesced
443,senesced
444,senesced
445,senesced
446,senesced
447,senesced
448,senesced
449,senesced
450,senesced
451,senesced
452,senesced
453,senesced
454,senesced
455,senesced
456,senesced
457,senesced
458,senesced
459,senesced
460,senesced
461,senesced
462,senesced
463,senesced
464,senesced
465,senesced
466,senesced
467,senesced
468,senesced
469,senesced
470,senesced
471,senesced
472,senesced
473,senesced
474,senesced
475,senesced
476,senesced
477,senesced
478,senesced
479,senesced
480,senesced
481,senesced
482,senesced
483,senesced
484,senesced
485,senesced
486,senesced
487,senesced
488,senesced
489,senesced
490,senesced
491,senesced
492,senesced
493,senesced
494,senesced
495,senesced
496,senesced
497,senesced
498,senesced
499,senesced
500,senesced
501,senesced
502,senesced
503,senesced
504,senesced
505,senesced
506,senesced
507,senesced
508,senesced
509,senesced
510,senesced
511,senesced
512,senesced
513,senesced
514,senesced
515,senesced
516,senesced
517,senesced
518,senesced
519,senesced
520,senesced
521,senesced
522,senesced
523,senesced
524,senesced
525,senesced
526,senesced
527,senesced
528,senesced
529,senesced
530,senesced
531,senesced
532,senesced
533,senesced
534,senesced
535,senesced
536,senesced
537,senesced
538,senesced
539,senesced
540,senesced
541,senesced
542,senesced
543,senesced
544,senesced
545,senesced
546,senesced
547,senesced
548,senesced
549,senesced
550,senesced
551,senesced
552,senesced
553,senesced
554,senesced
555,senesced
556,senesced
557,senesced
558,senesced
559,senesced
560,senesced
561,senesced
562,senesced
563,senesced
564,senesced
565,senesced
566,senesced
567,senesced
568,senesced
569,senesced
570,senesced
571,senesced
572,senesced
573,senesced
574,senesced
575,senesced
576,senesced
577,senesced
578,senesced
579,senesced
580,senesced
581,senesced
582,senesced
583,senesced
584,senesced
585,senesced
586,senesced
587,senesced
588,senesced
589,senesced
590,senesced
591,senesced
592,senesced
593,senesced
594,senesced
595,senesced
596,senesced
597,senesced
598,senesced
599,senesced
600,senesced
601,senesced
602,senesced
603,senesced
604,senesced
605,senesced
606,senesced
607,senesced
608,senesced
609,senesced
610,senesced
611,senesced
612,green 
613,green 
614,green 
615,green 
616,senesced
617,senesced
618,senesced
619,senesced
620,senesced
621,senesced
622,green 
623,green 
624,green 
625,green 
626,green 
627,senesced
628,senesced
629,senesced
630,senesced
631,senesced
632,senesced
633,green 
634,green 
635,green 
636,senesced
637,senesced
638,senesced
639,senesced
640,senesced
641,senesced
642,senesced
643,senesced
644,senesced
645,senesced
646,senesced
647,senesced
648,senesced
649,senesced
650,senesced
651,senesced
652,senesced
653,senesced
654,senesced
655,senesced
656,senesced
657,senesced
658,senesced
659,senesced
660,senesced
661,senesced
662,green 
663,green 
664,green 
665,green 
666,green 
667,green 
668,green 
669,green 
670,senesced
671,green 
672,green 
673,green 
674,green 
675,green 
676,green 
677,green 
678,green 
679,green 
680,green 
681,green 
682,green 
683,green 
684,senesced
685,green 
686,green 
687,senesced
688,green 
689,green 
690,senesced
691,green 
692,green 
693,senesced
694,green 
695,green 
696,senesced
697,green 
698,green 
699,senesced
700,green 
701,green 
702,senesced
703,green 
704,green 
705,senesced
706,green 
707,green 
708,senesced
709,green 
710,green 
711,senesced
712,green 
713,green 
714,senesced
715,green 
716,green 
717,senesced
718,green 
719,green 
720,senesced
721,green 
722,green 
723,senesced
724,green 
725,green 
726,senesced
727,green 
728,green 
729,senesced
730,green
731,green
732,senesced
733,green
734,green
735,senesced
736,green
737,green
738,senesced
739,green
740,green
741,senesced
742,green
743,green
744,senesced
745,green
746,green
747,senesced
748,green
749,green
750,senesced
751,green
752,green
753,senesced
754,green
755,green
756,senesced
757,green
758,green
759,senesced
760,green
761,green
762,senesced
763,green
764,green
765,senesced
766,green
767,green
768,senesced
769,green
770,green
771,senesced
772,green
773,green
774,senesced
775,green
776,green
777,senesced
778,senesced
779,senesced
780,senesced
781,senesced
782,senesced
783,senesced
784,senesced
785,senesced
786,senesced
787,senesced
788,senesced
789,senesced
790,senesced
791,senesced
792,senesced
793,senesced
794,senesced
795,senesced
796,senesced
797,senesced
798,green 
799,green 
800,senesced
801,senesced
802,senesced
803,senesced
804,senesced
805,senesced
806,senesced
807,senesced
808,senesced
809,senesced
810,senesced
811,senesced
812,senesced
813,senesced
814,senesced
815,senesced
816,senesced
817,green 
818,green 
819,green 
820,green 
821,senesced
822,senesced
823,senesced
824,senesced
825,senesced
826,senesced
827,senesced
828,senesced
829,senesced
830,senesced
831,senesced
832,senesced
833,senesced
834,senesced
835,senesced
836,senesced
837,senesced
838,senesced
839,senesced
840,senesced
841,senesced
842,senesced
843,senesced
844,senesced
845,senesced
846,senesced
847,senesced
848,senesced
849,senesced
850,green 
851,green 
852,green 
853,green 
854,green 
855,green 
856,green 
857,green 
858,green 
859,green 
860,green 
861,green 
862,green 
863,green 
864,green 
865,green 
866,green 
867,green 
868,green 
869,green 
870,green 
871,green 
872,green 
873,green 
874,senesced
875,green 
876,green 
877,green 
878,mixed
879,mixed
880,mixed
881,mixed
882,mixed
883,mixed
884,mixed
885,mixed
886,mixed
887,mixed
888,mixed
889,mixed
890,mixed
891,green 
892,green 
893,green 
894,green 
895,green 
896,green 
897,green 
898,green 
899,green 
900,green 
901,green 
902,green 
903,green 
904,green 
905,green 
906,green 
907,green 
908,green 
909,green 
910,green 
911,senesced
912,senesced
913,senesced
914,senesced
915,senesced
916,senesced
917,senesced
918,senesced
919,senesced
920,senesced
921,senesced
922,senesced
923,senesced
924,senesced
925,senesced
926,senesced
927,senesced
928,senesced
929,senesced
930,senesced
931,senesced
932,senesced
933,senesced
934,senesced
935,senesced
936,senesced
937,senesced
938,senesced
939,senesced
940,senesced
941,green 
942,green 
943,green 
944,green 
945,green 
946,green 
947,senesced
948,senesced
949,senesced
950,senesced
951,senesced
952,senesced
953,senesced
954,senesced
955,senesced
956,senesced
957,senesced
958,senesced
959,senesced
960,senesced
961,senesced
962,senesced
963,senesced
964,senesced
965,senesced
966,senesced
967,senesced
968,senesced
969,senesced
970,senesced
971,senesced
972,senesced
973,senesced
974,senesced
975,senesced
976,senesced
977,senesced
978,senesced
979,senesced
980,senesced
981,senesced
982,senesced
983,senesced
984,senesced
985,senesced
986,senesced
987,senesced
988,green
989,green
990,green
991,green
992,green
993,green
994,green
995,green
996,green
997,green
998,green
999,green
1000,senesced
1001,senesced
1002,senesced
1003,senesced
1004,senesced
1005,senesced
1006,senesced
1007,senesced
1008,senesced
1009,senesced
1010,senesced
1011,senesced
1012,senesced
1013,senesced
1014,senesced
1015,senesced
1016,senesced
1017,senesced
1018,senesced
1019,senesced
1020,senesced
1021,senesced
1022,senesced
1023,senesced
1024,senesced
1025,senesced
1026,senesced
1027,senesced
1028,senesced
1029,senesced
1030,senesced
1031,senesced
1032,senesced
1033,senesced
1034,senesced
1035,senesced
1036,senesced
1037,senesced
1038,senesced
1039,senesced
1040,senesced
1041,senesced
1042,senesced
1043,senesced
1044,senesced
1045,senesced
1046,senesced
1047,senesced
1048,senesced
1049,senesced
1050,senesced
1051,senesced
1052,senesced
1053,senesced
1054,senesced
1055,senesced
1056,senesced
1057,senesced
1058,senesced
1059,senesced
1060,senesced
1061,senesced
1062,senesced
1063,senesced
1064,senesced
1065,senesced
1066,senesced
1067,senesced
1068,senesced
1069,senesced
1070,senesced
1071,senesced
1072,senesced
1073,senesced
1074,senesced
1075,senesced
1076,senesced
1077,senesced
1078,senesced
1079,senesced
1080,senesced
1081,senesced
1082,senesced
1083,senesced
1084,senesced
1085,senesced
1086,senesced
1087,senesced
1088,senesced
1089,senesced
1090,senesced
1091,senesced
1092,senesced
1093,senesced
1094,senesced
1095,senesced
1096,senesced
1097,senesced
1098,senesced
1099,senesced
1100,senesced
1101,senesced
1102,senesced
1103,senesced
1104,senesced
1105,senesced
1106,senesced
1107,senesced
1108,senesced
1109,senesced
1110,senesced
1111,senesced
1112,senesced
1113,senesced
1114,senesced
1115,senesced
1116,senesced
1117,senesced
1118,senesced
1119,senesced
1120,senesced
1121,senesced
1122,senesced
1123,senesced
1124,senesced
1125,senesced
1126,senesced
1127,senesced
1128,senesced
1129,senesced
1130,senesced
1131,senesced
1132,senesced
1133,senesced
1134,senesced
1135,senesced
1136,senesced
1137,senesced
1138,senesced
1139,senesced
1140,senesced
1141,senesced
1142,senesced
1143,senesced
1144,senesced
1145,senesced
1146,senesced
1147,senesced
1148,senesced
1149,senesced
1150,senesced
1151,senesced
1152,senesced
1153,senesced
1154,senesced
1155,senesced
1156,senesced
1157,senesced
1158,senesced
1159,senesced
1160,senesced
1161,senesced
1162,senesced
1163,senesced
1164,senesced
1165,senesced
1166,senesced
1167,senesced
1168,senesced
1169,senesced
1170,senesced
1171,senesced
1172,senesced
1173,senesced
1174,senesced
1175,senesced
1176,senesced
1177,senesced
1178,senesced
1179,senesced
1180,senesced
1181,senesced
1182,senesced
1183,senesced
