Citation,Sci_name,Genus,Species,Family,Stream_name,perC,perN,perP,CtoN,CtoP,NtoP,How_ratios_were_determined,perLignin,perCellulose
Abelho et al. 2005. Biotropica,Hura crepitans,Hura,,Euphorbiaceae,Camuri,,1.4,0.2,,,13.5,Calculated,,
Adams & Angradi 1996,Acer rubrum,Acer,,,,,,0.9,45.8,,,Reported,19.9,
Adams & Angradi 1996,Liriodendron tulipifera,Liriodendron,,,,,1.5,0.1,,,33.5,Calculated,,
Adams & Angradi 1996,Prunus serotina,Prunus,,,,,1,0,,,52.6,Calculated,,
Alonso et al 2010,Ulmus procera,Ulmus,,,,42.8,1,,49,,,Calculated,4.8,
Ardon and Pringle 2008,Trema integerrima,Trema,,Ulmaceae,Sabalo,34.1,1.6,0.1,24.7,880.4,35.7,Calculated,5.6,12.3
Ardon and Pringle 2008,Ficus insipida,Ficus,,Moraceae,Sabalo,35,1.3,0.1,32.2,1131.2,35.2,Calculated,8.3,19.1
Ardon and Pringle 2008,Terminalia oblonga,Terminalia,,Combretaceae,Sabalo,39.2,1.4,0.1,33.6,844.3,25.1,Calculated,7,17.5
Ardon and Pringle 2008,Castilla elastica,Castilla,,Moraceae,Sabalo,40.4,2,0.2,23.2,652.9,28.1,Calculated,13.4,19.5
Ardon and Pringle 2008,Luehea seemanii,Luehea,,Malvaceae,Sabalo,44.2,1.3,0.1,40.6,1037.6,25.6,Calculated,16.3,19.9
Ardon and Pringle 2008,Zygia longifolia,Zygia,,Fabaceae,Sabalo,46.5,1.9,0.1,29,1999.9,69,Calculated,28.4,24.6
Ardon and Pringle 2008,Simira maxonii,Simira,,Rubiaceae,Sabalo,44.9,2.1,0.1,25.6,1054.7,41.3,Calculated,15.3,22.9
Ardon and Pringle 2008,Carapa guianensis,Carapa,,Meliaceae,Sabalo,41.7,0.9,0.1,53.5,1346.9,25.2,Calculated,18.3,18
Ardon et al 2006 Freshwater Biology,Trema integerrima,Trema,,Ulmaceae,Piper,34.1,1.4,0.1,29.5,1190.1,40.4,Calculated,1.3,11.5
Ardon et al 2006 Freshwater Biology,Castilla elastica,Castilla,,Moraceae,Piper,40.7,2.1,0.1,22.9,820.8,35.8,Calculated,7.6,16.6
Ardon et al 2006 Freshwater Biology,Zygia longifolia,Zygia,,Fabaceae,Piper,46.6,2.1,0.1,26.3,1695.5,64.6,Calculated,21.4,21.7
Ardon et al. 2009 JNABS,Cornus florida,Cornus,,Cornaceae,Catchment 53,44.9,0.8,0.2,65.5,720.4,11,Calculated,8.4,12.4
Ardon et al. 2009 JNABS,Liriodendron tulipifera,Liriodendron,,Magnoliaceae,Catchment 53,45.5,1.2,0.1,42.8,1237.3,28.9,Calculated,15.9,18.6
Ardon et al. 2009 JNABS,Liquidambar styraciflua,Liquidambar,,Hamamelidaceae,Catchment 53,44.4,0.6,0,89.3,16623.2,186.1,Calculated,14.9,13
Ardon et al. 2009 JNABS,Acer rubrum,Acer,,Sapindaceae,Catchment 53,47.6,0.4,0,135.4,3842.7,28.4,Calculated,16.5,14.8
Ardon et al. 2009 JNABS,Quercus robur,Quercus,,Fagaceae,Catchment 53,47.3,0.7,0,81.2,3394.2,41.8,Calculated,16.9,21.3
Ardon et al. 2009 JNABS,Rhododendron maximum,Rhododendron,,Ericaceae,Catchment 53,47.3,0.3,0,172.4,3818.5,22.1,Calculated,21.1,23.6
Ardon et al. 2009 JNABS,Pinus strobus,Pinus,,Pinaceae,Catchment 53,50.3,0.4,0,146.7,3169.3,21.6,Calculated,19.2,22.3
Au et al 1992 Can. J. Bot.,Bauhinia purpurea,Bauhinia,,Fabaceae,Lam Tsuen River,51.1,3.2,,18.7,,,Calculated,,
Au et al 1992 Can. J. Bot.,Bauhinia purpurea,Bauhinia,,Fabaceae,Lam Tsuen River,51,3.1,,19.3,,,Calculated,,
Belote & Jones 2008,Liriodendron tulipifera,Liriodendron,,,,47.9,,0.8,,160.7,,Calculated,,
Belote & Jones 2008,Quercus rubra,Quercus,,,,51.7,,0.7,,193.6,,Calculated,,
Benstead et al. 2009. JNABS,Terminalia carolinensis,Terminalia,,Combretaceae,Yela River-1,43.5,0.6,,79.4,,,Calculated,,
Boyero et al. 2017,Acer rubrum,Acer,rubrum,Aceraceae,,,0.27,0.02,,,29.9,Calculated,,
Boyero et al. 2017,Acer mono,Acer,mono,Aceraceae,,,0.49,0.06,,,18.1,Calculated,,
Boyero et al. 2017,Acer saccharum,Acer,saccharum,Aceraceae,,,0.46,0.02,,,50.9,Calculated,,
Boyero et al. 2017,Acer saccharinum,Acer,saccharinum,Aceraceae,,,0.69,0.07,,,21.8,Calculated,,
Boyero et al. 2017,Acer pseudoplatanus,Acer,pseudoplatanus,Aceraceae,,,0.59,0.06,,,21.8,Calculated,,
Boyero et al. 2017,Acer pseudoplatanus,Acer,pseudoplatanus,Aceraceae,,,1.63,0.19,,,19,Calculated,,
Boyero et al. 2017,Alchornea grandiflora,Alchornea,grandiflora,Euphorbiaceae,,,1.2,0.06,,,44.3,Calculated,,
Boyero et al. 2017,Alchornea grandiflora,Alchornea,grandiflora,Euphorbiaceae,,,1.17,0.09,,,28.8,Calculated,,
Boyero et al. 2017,Alchornea latifolia,Alchornea,latifolia,Euphorbiaceae,,,1.29,0.06,,,47.6,Calculated,,
Boyero et al. 2017,Alnus glutinosa,Alnus,glutinosa,Betulaceae,,,0.35,0.06,,,12.9,Calculated,,
Boyero et al. 2017,Alnus glutinosa,Alnus,glutinosa,Betulaceae,,,1.53,0.05,,,67.8,Calculated,,
Boyero et al. 2017,Alnus glutinosa,Alnus,glutinosa,Betulaceae,,,2.51,0.02,,,277.9,Calculated,,
Boyero et al. 2017,Alnus glutinosa,Alnus,glutinosa,Betulaceae,,,3.12,0.11,,,62.8,Calculated,,
Boyero et al. 2017,Alnus glutinosa,Alnus,glutinosa,Betulaceae,,,2.24,0.1,,,49.6,Calculated,,
Boyero et al. 2017,Alnus incana,Alnus,incana,Betulaceae,,,3.2,0.07,,,101.2,Calculated,,
Boyero et al. 2017,Apodytes brachystylis,Apodytes,brachystylis,Icacinaceae,,,1.53,0.08,,,42.3,Calculated,,
Boyero et al. 2017,Aporusa dioica,Aporusa,dioica,Phyllanthaceae,,,1.02,0.05,,,45.2,Calculated,,
Boyero et al. 2017,Ardisia brevipedata,Ardisia,brevipedata,Myrsinaceae,,,1.21,0.06,,,44.7,Calculated,,
Boyero et al. 2017,Aspidosperma discolor,Aspidosperma,discolor,Apocynaceae,,,0.39,0.01,,,86.4,Calculated,,
Boyero et al. 2017,Betula alleghaniensis,Betula,alleghaniensis,Betulaceae,,,0.91,0.1,,,20.2,Calculated,,
Boyero et al. 2017,Betula pubescens,Betula,pubescens,Betulaceae,,,1.36,0.1,,,30.1,Calculated,,
Boyero et al. 2017,Bischofia javanica,Bischofia,javanica,Phyllanthaceae,,,1.04,0.04,,,57.6,Calculated,,
Boyero et al. 2017,Byttneria aspera,Byttneria,aspera,Malvaceae,,,1.26,0.04,,,69.8,Calculated,,
Boyero et al. 2017,Cabralea canjerana,Cabralea,canjerana,Meliaceae,,,1.1,0.03,,,81.2,Calculated,,
Boyero et al. 2017,Canarium patentinervium,Canarium,patentinervium,Burseraceae,,,1.03,0.05,,,45.6,Calculated,,
Boyero et al. 2017,Carpinus cordata,Carpinus,cordata,Betulaceae,,,0.59,0.03,,,43.5,Calculated,,
Boyero et al. 2017,Carpinus betulus,Carpinus,betulus,Betulaceae,,,1.27,0.07,,,40.2,Calculated,,
Boyero et al. 2017,Carya ovata,Carya,ovata,Juglandaceae,,,1.07,0.11,,,21.5,Calculated,,
Boyero et al. 2017,Casearia sylvestris,Casearia,sylvestris,Salicaceae,,,1.02,0.04,,,56.5,Calculated,,
Boyero et al. 2017,Castanea sativa,Castanea,sativa,Fagaceae,,,0.84,0.05,,,37.2,Calculated,,
Boyero et al. 2017,Castanea sativa,Castanea,sativa,Fagaceae,,,0.99,0.07,,,31.3,Calculated,,
Boyero et al. 2017,Castilla elastica,Castilla,elastica,Moraceae,,,2.33,0.16,,,32.2,Calculated,,
Boyero et al. 2017,Cecropia obtusifolia,Cecropia,obtusifolia,Urticaceae,,,1.98,0.15,,,29.2,Calculated,,
Boyero et al. 2017,Cecropia schreberiana,Cecropia,schreberiana,Urticaceae,,,1.08,0.04,,,59.8,Calculated,,
Boyero et al. 2017,Cheilosa malayana,Cheilosa,malayana,Euphorbiaceae,,,1.34,0.05,,,59.3,Calculated,,
