Genus,N_Leaf_Mn,N_Leaf_Med,P_Leaf_Mn,P_Leaf_Med,NtoP_Leaf_Mn,NtoP_Leaf_Med,Thick_Mn,Thick_Med,C_Leaf_Mn,C_Leaf_Med,CtoN_Leaf_Mn,CtoN_Leaf_Med,Ca_Leaf_Mn,Ca_Leaf_Med
Acacia,2.738942568,2.736815473,0.110877822,0.109744104,25.25294084,25.12782351,0.364190343,0.360053032,45.54727016,45.72221885,19.710362,19.81421709,1.172764154,1.158299692
Acer,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307
Aesculus,2.075727316,2.13266,0.29219962,0.290754535,10.30894915,10.96980622,0.142972222,0.139277778,44.20683333,44.2735,44,44,1.548,1.565
Alnus,2.738034762,2.757721073,0.184034961,0.181013556,14.71345539,14.69238999,0.159339727,0.160189109,48.90260734,49.35445783,24.13156166,17.6572855,1.080566667,1.0887
Ardisia,1.456717944,1.454352826,0.141329867,0.137669083,18.80355137,18.80355137,0.230541642,0.231346154,43.43730293,43.4468032,36.70390181,36.70390181,1.201614583,1.314427083
Bauhinia,2.499756558,2.467951129,0.173575187,0.178229516,15.93419476,16.07405269,0.197123018,0.197420241,47.93368545,48.07302893,17.02128217,17.07767016,1.21141189,1.21141189
Beilschmiedia,1.399522839,1.408141702,0.111142238,0.111824056,17.46856369,17.46856369,0.242462913,0.237,46.41061905,46.677,28.56363032,28.53496365,0.318,0.318
Betula,2.608025338,2.209071068,0.175475926,0.171295406,13.72305019,13.61583729,0.170439535,0.167087914,48.15110111,48.11426626,29.18972882,29.10473459,1.035514286,1.011214286
Buddleja,1.785367741,1.738450752,0.131962088,0.126985366,12.78340252,12.05851724,0.354134731,0.360656349,48.41527304,48.07223638,25.61912464,25.30607153,1.22,1.22
Calamagrostis,2.060150026,2.073233071,0.175398749,0.172148929,13.99820254,13.7511525,0.192178571,0.192178571,44.64462855,44.721463,28.5312812,28.10227252,1.201541909,1.188305945
Carapa,1.648133469,1.640742608,0.071199151,0.0710225,15.80855658,15.80855658,0.221907323,0.209055556,47.45687658,47.6469613,25.11152973,25.04939883,0.641215102,0.641215102
Carex,2.007482654,1.9999398,0.154107936,0.150559387,13.32400906,13.26457792,0.22878602,0.227601523,44.34932722,44.48614199,32.71279763,32.6217668,0.40375,0.3875
Carpinus,2.114062999,2.12992137,0.121542314,0.132621902,17.47252268,16.90602626,0.176763823,0.174076494,46.03052008,46.07470792,24.48901649,24.48901649,1.287041667,1.300875
Carya,1.862086209,1.92075604,0.168870914,0.180364756,12.02911181,12.61853639,0.097215717,0.097536946,47.47206803,47.47206704,57.95454202,57.95454202,1.575,1.571666667
Castanea,1.909970913,1.946737669,0.163456017,0.149713376,12.399095,11.89833287,0.126814384,0.127641667,43.66207172,43.56072464,30.81750982,30.9036152,0.743770115,0.718666667
Castanopsis,1.505965653,1.495954122,0.107520368,0.097623921,20.50632376,20.22451591,0.249776364,0.249776364,45.81600841,45.65080679,38.74074931,36.24007772,0.535333333,0.514
Castilla,2.495951347,2.42978524,0.146865978,0.161543384,16.5418884,16.5418884,0.253125,0.265,44.09241609,44.12700433,18.61285644,18.68301142,1.276638282,1.276638282
Cecropia,2.607964969,2.599946377,0.155312498,0.156351022,19.52652754,19.73083659,0.284978528,0.283139764,46.69728606,46.44277717,17.09209207,16.93723852,0.21738,0.21738
Clidemia,1.983424325,1.964739206,0.092402083,0.089333333,19.15502646,19.24074074,0.183420139,0.180625,46,46,18.11023622,18.11023622,1.12,1.12
Cornus,1.867049988,1.872933672,0.203577853,0.19479357,9.235658939,9.189249801,0.160023632,0.161703769,42.94077777,42.9824322,27.56805732,27.53911066,2.3475,2.3475
Corylus,2.096571375,2.135665385,0.189992147,0.189159963,10.73529376,10.97019536,0.140528571,0.148,40.52843735,40.71853708,18.54401888,17.48473755,2.03,2.03
Croton,3.050027375,3.047548607,0.158789812,0.158772326,11.23153414,11.23376623,0.22034445,0.217923077,42.52693293,42.54167865,16.60045103,16.60538477,2.60163438,2.60163438
Erythrina,3.185230541,3.210757161,0.168382095,0.168384838,16.67961984,16.67431282,0.167244444,0.1638,49.5788054,49.5788054,24.65734064,24.65581905,2.439980461,2.439980461
Eucalyptus,1.311721207,1.301313497,0.086637645,0.085020747,17.28933255,17.43592238,0.457750266,0.459156481,47.29898132,47.56572313,39.0366759,40.24372539,0.7426,0.7426
Fagus,2.673199446,2.747066667,0.164376257,0.16096973,16.33481269,16.5862904,0.118977296,0.120337435,48.38016066,48.22605086,19.56185707,18.90028508,0.793166667,0.787833333
Ficus,2.04566408,2.042687473,0.17927694,0.178312392,17.77801073,17.80652371,0.435976734,0.365023001,40.47127883,40.50025142,22.1588636,22.08206261,2.637832338,2.701047055
Fraxinus,2.289985893,2.237572392,0.192550383,0.185953395,15.16278391,15.43807193,0.185681086,0.182647051,45.86491624,46.02964457,29.91223166,29.42439096,1.95875,1.95875
Hedera,1.249376273,1.193,0.130405652,0.126755099,11.27250711,10.98606811,0.184269461,0.18,43.8855,44.0015,27.16444993,26.68555417,2.318571429,2.62
Hevea,2.150251826,2.158563377,0.108829887,0.088721903,29.29168565,22.88659828,0.146933458,0.140315998,51.50118287,51.50719238,22.83168135,22.62330866,1.176163139,1.085402363
Hura,3.177162832,3.292996167,0.37,0.37,8.378378378,8.378378378,0.209756292,0.2125,43.59725682,44.5689373,17.61735965,18.26994076,1.201541909,1.188305945
Ilex,1.473837717,1.461377102,0.105060956,0.10602509,21.03562247,21.0248201,0.269382813,0.267550347,47.7675507,47.52744782,39.92150402,37.84121308,0.897597315,0.880261109
Inga,2.948849169,2.956085804,0.118312249,0.116732876,32.27101471,30.96225022,0.200894014,0.199396245,48.83108538,48.92085852,16.84405047,16.73952593,0.740463321,0.732729487
