"","No","Citiation","lat","lon","sitecode","logk","stage","Method","climate.zone","Ecosystem","Vegetation","Litter.type","Aspect","Elevation","Slope","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","Bulk.density","Clay","pH","SOC","N","CEC","EVI","LAI","NPP","SFP","SBD","Initial.C","Initial.N","Initial.C.N","ln_pred_k","logk","mean_mean_daily_temp","log10NO3c","log10DRPc","TPdep","TNdep","log10dis_m3_pyr","log10dis_m3_pmn","log10dis_m3_pmx","run_mm_syr","log10inu_pc_smn","log10inu_pc_umn","log10inu_pc_smx","log10inu_pc_umx","log10inu_pc_slt","log10inu_pc_ult","log10lka_pc_sse","log10lka_pc_use","log10lkv_mc_usu","log10rev_mc_usu","log10dor_pc_pva","log10ria_ha_ssu","log10ria_ha_usu","log10riv_tc_ssu","log10riv_tc_usu","gwt_cm_sav","ele_mt_sav","ele_mt_uav","ele_mt_smn","ele_mt_smx","slp_dg_sav","slp_dg_uav","log10sgr_dk_sav","tmp_dc_syr","tmp_dc_uyr","tmp_dc_smn","tmp_dc_smx","tempmonth","pre_mm_syr","pre_mm_uyr","log10precipmonth","pet_mm_syr","pet_mm_uyr","PETmonth","aet_mm_syr","aet_mm_uyr","AETmonth","ari_ix_sav","ari_ix_uav","cmi_ix_syr","cmi_ix_uyr","moist_indexmonth","snw_pc_syr","snw_pc_uyr","snw_pc_smx","snowmonth","wet_pc_sg1","wet_pc_ug1","wet_pc_sg2","wet_pc_ug2","for_pc_sse","for_pc_use","crp_pc_sse","crp_pc_use","pst_pc_sse","pst_pc_use","ire_pc_sse","ire_pc_use","gla_pc_sse","gla_pc_use","prm_pc_sse","prm_pc_use","pac_pc_sse","pac_pc_use","cly_pc_sav","cly_pc_uav","slt_pc_sav","slt_pc_uav","snd_pc_sav","snd_pc_uav","soc_th_sav","soc_th_uav","swc_pc_syr","swc_pc_uyr","soilwatermonth","kar_pc_sse","kar_pc_use","log10ero_kh_sav","log10ero_kh_uav","log10pop_ct_ssu","log10pop_ct_usu","log10ppd_pk_sav","log10ppd_pk_uav","urb_pc_sse","urb_pc_use","nli_ix_sav","nli_ix_uav","log10rdd_mk_sav","log10rdd_mk_uav","gdp_ud_sav","log10gdp_ud_ssu","log10gdp_ud_usu","northness","slope","elev","tpi"
"1",1,"Ivarson. 1959",45.5,-77.55,1,-0.501220937,"early","Litter bag","Continental/microthermal climates","Forest","Broadleaved","Leaf","South",363,0.422873974,5.05,9.2,0.231999993,1038.7,24.45,-15.05,39.5,16.75,-7.65,17.95,-8.85,935.6,96.2,59.3,17,524.8,178.9,270.7,188.4,1.09,28.6,5.2,104.2,6.952,251,3483.92627,18.22366142,6695.899902,23.20879847,0.690986574,NA,NA,NA,-5.36600504314147,-0.501220937,NA,0.0302717047363297,0.00380903721908325,23.463654344714,754.4484,0.370513089598593,0.164650215934297,0.749581734865559,352,0.845098040014257,0.845098040014257,1,1,1.04139268515822,1.04139268515822,1.41664050733828,1.41664050733828,0.778151250383644,0,0,1.33362861251869,1.33362861251869,1.78819666301974,1.78819666301974,178,285,285,166,477,3.8,3.8,1.88649072517248,4.6,4.6,-11.7,19.1,NA,848,848,NA,815,815,NA,613,613,NA,1.04,1.04,0.04,0.04,NA,36,36,99,NA,1,1,0,0,98,98,0,0,5,5,0,0,0,0,0,0,0,0,5,5,31,30,64,63,92,91,83,83,NA,0,0,1.85733249643127,1.85733249643127,0.267406418752904,0.267406418752904,0.962795369857233,0.962795369857233,0,0,6.53,7,2.29666519026153,2.29666519026153,44559,7.63737893025987,7.63737893025987,-0.0996125936508179,3.63155937194824,364.160003662109,0.610000014305115
"2",2,"Ivarson. 1959",45.4085914,-75.669033,2,-0.173283952,"mid","Litter bag","Continental/microthermal climates","Forest","Broadleaved","Leaf","North",58.64781189,0.191291958,6.55,9.3,0.228999996,1069.4,25.95,-14.55,40.5,19.75,-6.65,19.75,-7.85,963.4,94,57.6,14.9,524.8,188,273.9,202.5,1.18,27.6,6.2,66.9,7.868,225,2122.906006,11.86739826,2933.214355,17.54921973,0.636616588,NA,NA,NA,-5.44516643958339,-0.173283952,NA,0.248458622835357,0.00543546492563254,22.3256846163845,631.5511,1.85928243751554,1.50148375907294,2.33875720812498,405,0.954242509439325,0.954242509439325,1.49136169383427,1.27875360095283,1.72427586960079,1.43136376415899,0.0413926851582251,1.80685802951882,3.50351831272407,0,0,2.19243920881834,3.26814322587966,3.47870844773123,4.25539346339797,47,88,167,47,119,0.8,1.5,1.32221929473392,5.9,5.8,-10.7,20.6,NA,872,866,NA,805,811,NA,615,612,NA,1.08,1.07,0.08,0.06,NA,24,25,100,NA,1,6,1,0,20,80,23,13,5,8,1,0,0,0,0,0,5,1,17,13,42,36,42,50,46,61,84,83,NA,100,37,2.72263392253381,2.33445375115093,2.43520391457646,2.64624389997659,3.20637219254648,1.87940556961082,58,3,61.19,12,3.80386663428498,2.70156798505593,44267,10.1056998590133,10.3273207785809,-0.0046403743326664,1.8257417678833,60.7299995422363,-0.135000005364418
"12",12,"Anderson.1973",52.33333333,1,4,0.323845883,"mid","Litter bag","Dry-winter subtropical climates","Forest","Broadleaved","Leaf","South",53,0.67871803,10.05,6.7,0.345000005,462.9,20.95,1.45,19.5,7.65,6.35,16.15,4.45,639.5,64.1,40,11.9,520.2,133.4,172.5,145.1,1.13,23.4,6.7,57.4,6.524,260,3450.354736,8.778571129,5983.100098,5.345191061,0.539024472,487.1,7.7,63.2,-4.57684471132564,0.323845883,NA,1.05581294851583,0.148233050241068,54.0450916084536,917.0839,0.417803722639881,0.227115082589125,0.549493713215013,289,0.845098040014257,0.845098040014257,1.04139268515822,1.04139268515822,1.14612803567824,1.14612803567824,-1,-1,0,0,0,1.29536914851001,1.29536914851001,1.66985592662283,1.66985592662283,64,40,40,15,67,1,1,0.954242509439325,9.6,9.6,2.7,16.5,NA,593,593,NA,651,651,NA,486,486,NA,0.91,0.91,-0.09,-0.09,NA,9,9,36,NA,0,0,0,0,0,0,87,87,8,8,3,3,0,0,0,0,6,6,21,21,34,34,45,45,49,49,80,80,NA,100,100,2.78675142214556,2.78675142214556,1.13360277051016,1.13360277051016,1.85736868613021,1.85741090363451,1,1,13.15,13,2.84260923961056,2.84198480459011,35687,8.65752453173164,8.65752450115359,-0.0628400668501854,0.833659529685974,52.6199989318848,0.155000001192093
"13",13,"Anderson.1973",52.33333333,1,4,-0.074435245,"mid","Litter bag","Dry-winter subtropical climates","Forest","Broadleaved","Leaf","South",53,0.67871803,10.05,6.7,0.345000005,462.9,20.95,1.45,19.5,7.65,6.35,16.15,4.45,639.5,64.1,40,11.9,520.2,133.4,172.5,145.1,1.13,23.4,6.7,57.4,6.524,260,3450.354736,8.778571129,5983.100098,5.345191061,0.539024472,477.7,5.6,85.5,-4.57684471132564,-0.074435245,NA,1.05581294851583,0.148233050241068,54.0450916084536,917.0839,0.417803722639881,0.227115082589125,0.549493713215013,289,0.845098040014257,0.845098040014257,1.04139268515822,1.04139268515822,1.14612803567824,1.14612803567824,-1,-1,0,0,0,1.29536914851001,1.29536914851001,1.66985592662283,1.66985592662283,64,40,40,15,67,1,1,0.954242509439325,9.6,9.6,2.7,16.5,NA,593,593,NA,651,651,NA,486,486,NA,0.91,0.91,-0.09,-0.09,NA,9,9,36,NA,0,0,0,0,0,0,87,87,8,8,3,3,0,0,0,0,6,6,21,21,34,34,45,45,49,49,80,80,NA,100,100,2.78675142214556,2.78675142214556,1.13360277051016,1.13360277051016,1.85736868613021,1.85741090363451,1,1,13.15,13,2.84260923961056,2.84198480459011,35687,8.65752453173164,8.65752450115359,-0.0628400668501854,0.833659529685974,52.6199989318848,0.155000001192093
"17",17,"Gosz.1973",43.93333333,71.75,5,-0.536420533,"mid","Litter bag","Arid climates","Forest","Broadleaved","Leaf","East",770,0.199407488,11.45,11.8,0.273000002,1181.4,33.85,-9.35,43.2,12.35,24.25,26.55,-4.05,217,27.7,6.9,36.6,306.1,26,30.8,63.1,1.38,29.3,7.8,15.6,1.629,207,1213.243652,2.853571415,1186.599976,10.55935472,0.295814455,445,8.2,54.27,-4.68369843825143,-0.536420533,NA,NA,NA,27.1871845975552,224.1967,0.0386201619497028,0.00216606175650763,0.698274576674368,6,0,0,0,0,0,0,-1,-1,0,0,0,1.31414120326057,1.69013403352767,1.89133113272848,2.1483311358964,25,419,448,391,447,0.2,0.2,1.17609125905568,10.5,10.5,-5.5,25.6,NA,223,233,NA,1106,1106,NA,196,204,NA,0.2,0.21,-0.8,-0.79,NA,14,14,78,NA,0,0,0,0,0,0,11,11,48,45,0,0,0,0,0,0,0,0,12,13,43,41,45,46,11,11,20,21,NA,0,0,1.5910646070265,1.67209785793572,0.685741738602264,1.11670734139309,1.49708176280948,1.48112718464408,0,0,0,0,0,0,7788,0,0,0.168432787060738,0.494210690259933,399.410003662109,-0.0437499992549419
"18",18,"Gosz.1973",43.93333333,71.75,5,-0.304605892,"mid","Litter bag","Arid climates","Forest","Broadleaved","Leaf","East",770,0.199407488,11.45,11.8,0.273000002,1181.4,33.85,-9.35,43.2,12.35,24.25,26.55,-4.05,217,27.7,6.9,36.6,306.1,26,30.8,63.1,1.38,29.3,7.8,15.6,1.629,207,1213.243652,2.853571415,1186.599976,10.55935472,0.295814455,423,5.7,74.21,-4.68369843825143,-0.304605892,NA,NA,NA,27.1871845975552,224.1967,0.0386201619497028,0.00216606175650763,0.698274576674368,6,0,0,0,0,0,0,-1,-1,0,0,0,1.31414120326057,1.69013403352767,1.89133113272848,2.1483311358964,25,419,448,391,447,0.2,0.2,1.17609125905568,10.5,10.5,-5.5,25.6,NA,223,233,NA,1106,1106,NA,196,204,NA,0.2,0.21,-0.8,-0.79,NA,14,14,78,NA,0,0,0,0,0,0,11,11,48,45,0,0,0,0,0,0,0,0,12,13,43,41,45,46,11,11,20,21,NA,0,0,1.5910646070265,1.67209785793572,0.685741738602264,1.11670734139309,1.49708176280948,1.48112718464408,0,0,0,0,0,0,7788,0,0,0.168432787060738,0.494210690259933,399.410003662109,-0.0437499992549419
"19",19,"Gosz.1973",43.93333333,71.75,5,-0.143923948,"mid","Litter bag","Arid climates","Forest","Broadleaved","Leaf","East",770,0.199407488,11.45,11.8,0.273000002,1181.4,33.85,-9.35,43.2,12.35,24.25,26.55,-4.05,217,27.7,6.9,36.6,375.3,26,30.8,63.1,1.38,29.3,7.8,15.6,1.629,207,1213.243652,2.853571415,1186.599976,10.55935472,0.295814455,433,8.5,50.94,-4.68369843825143,-0.143923948,NA,NA,NA,27.1871845975552,224.1967,0.0386201619497028,0.00216606175650763,0.698274576674368,6,0,0,0,0,0,0,-1,-1,0,0,0,1.31414120326057,1.69013403352767,1.89133113272848,2.1483311358964,25,419,448,391,447,0.2,0.2,1.17609125905568,10.5,10.5,-5.5,25.6,NA,223,233,NA,1106,1106,NA,196,204,NA,0.2,0.21,-0.8,-0.79,NA,14,14,78,NA,0,0,0,0,0,0,11,11,48,45,0,0,0,0,0,0,0,0,12,13,43,41,45,46,11,11,20,21,NA,0,0,1.5910646070265,1.67209785793572,0.685741738602264,1.11670734139309,1.49708176280948,1.48112718464408,0,0,0,0,0,0,7788,0,0,0.168432787060738,0.494210690259933,399.410003662109,-0.0437499992549419
"20",20,"Luosier.1976",51.33333333,-115.6666667,6,-0.919553905,"mid","Litter bag","Continental/microthermal climates","Forest","Broadleaved","Leaf","North",1400,7.914889336,-3.25,10.1,0.286999989,873.6,15.65,-19.45,35.1,8.05,-14.25,8.05,-14.25,996.7,153,42.1,44.1,375.3,136.5,401.6,136.5,0.93,16.5,5.8,35.6,4.572,268,2000.865967,7.345535755,4224.899902,20.28346956,0.678093612,NA,NA,NA,-5.44665962560933,-0.919553905,NA,0.114142333970224,0.0041077867639382,49.8027422241644,191.8267,0.616160312847583,0.319938439980309,0.966657884201758,240,0,0,0,0,0,0,-1,0.0413926851582251,0.698970004336019,0,0,1.47005750167291,1.69147933940379,1.92993976665048,2.12009330934051,630,2226,2260,1641,2944,23.1,23.3,2.54282542695918,-2.4,-2.6,-14.8,8.9,NA,620,627,NA,549,542,NA,464,461,NA,1.14,1.17,0.11,0.13,NA,51,52,97,NA,0,0,0,0,70,67,0,0,0,0,0,0,0,0,33,35,100,100,17,17,40,40,43,43,62,61,88,89,NA,0,0,3.83714634390906,3.90096762391912,0.00130093302041807,0.00389116623691048,0.00603795499731718,0.00945089579869393,0,0,0,0,0,0,57889,0,0,0.0392580591142178,19.1160907745361,2214.22998046875,0.176249995827675
"21",21,"Luosier.1976",51.33333333,-115.6666667,6,-0.905668651,"mid","Litter bag","Continental/microthermal climates","Forest","Broadleaved","Leaf","North",1400,7.914889336,-3.25,10.1,0.286999989,873.6,15.65,-19.45,35.1,8.05,-14.25,8.05,-14.25,996.7,153,42.1,44.1,375.3,136.5,401.6,136.5,0.93,16.5,5.8,35.6,4.572,268,2000.865967,7.345535755,4224.899902,20.28346956,0.678093612,NA,NA,NA,-5.44665962560933,-0.905668651,NA,0.114142333970224,0.0041077867639382,49.8027422241644,191.8267,0.616160312847583,0.319938439980309,0.966657884201758,240,0,0,0,0,0,0,-1,0.0413926851582251,0.698970004336019,0,0,1.47005750167291,1.69147933940379,1.92993976665048,2.12009330934051,630,2226,2260,1641,2944,23.1,23.3,2.54282542695918,-2.4,-2.6,-14.8,8.9,NA,620,627,NA,549,542,NA,464,461,NA,1.14,1.17,0.11,0.13,NA,51,52,97,NA,0,0,0,0,70,67,0,0,0,0,0,0,0,0,33,35,100,100,17,17,40,40,43,43,62,61,88,89,NA,0,0,3.83714634390906,3.90096762391912,0.00130093302041807,0.00389116623691048,0.00603795499731718,0.00945089579869393,0,0,0,0,0,0,57889,0,0,0.0392580591142178,19.1160907745361,2214.22998046875,0.176249995827675
"22",22,"Luosier.1976",51.33333333,-115.6666667,6,-0.718489399,"mid","Litter bag","Continental/microthermal climates","Forest","Broadleaved","Leaf","North",1400,7.914889336,-3.25,10.1,0.286999989,873.6,15.65,-19.45,35.1,8.05,-14.25,8.05,-14.25,996.7,153,42.1,44.1,375.3,136.5,401.6,136.5,0.93,16.5,5.8,35.6,4.572,268,2000.865967,7.345535755,4224.899902,20.28346956,0.678093612,NA,NA,NA,-5.44665962560933,-0.718489399,NA,0.114142333970224,0.0041077867639382,49.8027422241644,191.8267,0.616160312847583,0.319938439980309,0.966657884201758,240,0,0,0,0,0,0,-1,0.0413926851582251,0.698970004336019,0,0,1.47005750167291,1.69147933940379,1.92993976665048,2.12009330934051,630,2226,2260,1641,2944,23.1,23.3,2.54282542695918,-2.4,-2.6,-14.8,8.9,NA,620,627,NA,549,542,NA,464,461,NA,1.14,1.17,0.11,0.13,NA,51,52,97,NA,0,0,0,0,70,67,0,0,0,0,0,0,0,0,33,35,100,100,17,17,40,40,43,43,62,61,88,89,NA,0,0,3.83714634390906,3.90096762391912,0.00130093302041807,0.00389116623691048,0.00603795499731718,0.00945089579869393,0,0,0,0,0,0,57889,0,0,0.0392580591142178,19.1160907745361,2214.22998046875,0.176249995827675
