Range/Country,Area,Latitude,Longitude,NP weight,NP molar,Measure,N mg m-2 yr-1,Type,length,source,TP mg m-2 yr-1,Type ,Length ,Source,Notes
"New. Hamp., Appalachians, USA","Hubbard Brook, New Hampshire",43.95,-71.69,125,276,DIN:PO4,2121,Bulk,1972-2010,"Likens (1995-2010), Hubbard Brook Dataset",17,Bulk,1972-2010,"Likens (1995-2010), Hubbard Brook Dataset",
Colombia,Vander (Montane),5,-75.5,25,54,TN:SRP,1476,Bulk,1986-1987,Veneklaas 1990,60,Bulk,1986-1987,Veneklaas 1990,
Ecuador,Cordillera Real (Montane),-4,-79.08,6,13,DIN:TP,1173,Bulk,1998-2003,Boy et al 2008,93,Bulk,1998-2003,Boy et al 2008,
Ecuador,Podocarpus National Park,-4.11,-78.92,5,10,DIN:PO4,1220,Wet,2002-2006,Fabian et al 2009,260,Wet,2002-2006,Fabian et al 2009,
"Colorado Rockies, USA","Colorado Rockies, Green Lake valley",40.05,-105.59,28.7,63.4,DIN:TDP,430,Bulk,2002-2010,Mladenov et al 2012,15,Bulk,2002-2010,Mladenov et al 2012,
"Colorado San Juan, USA","San Juan Mountains, Colorado",37.84,-107.71,28,61.9,DIN:TDP,276,Bulk,2009-2010,Brahney 2012,18,Bulk,Bulk,Brahney 2012,
Wyoming S. Wind River USA,"S. Wind River Range, Wyoming",42.73,-109.16,2.4,5.3,DIN:TDP,91,Bulk,2009-2010,Brahney 2012,38,Bulk,Bulk,Brahney 2012,
"Wyoming N. Wind River, USA","N. Wind River Range, Wyoming",43.36,-109.76,8.1,11,DIN:TDP,121,Bulk,2009-2010,Brahney 2012,15,Bulk,Bulk,Brahney 2012,
"California, Sierra Nevada","Lake Tahoe, California",39.11,-120.34,15,35,DIN:TP,298,Bulk,1994-2004,"Sahoo et al 2010, Vicars et al 2010",19,Bulk,1994-2004,"Sahoo et al 2010, Vicars 2010",
Canada,Banff National Park,51.27,115.39,1.79,3.9559,DIN:TP,99.66666667,Wet,2008,Porter 2012,57.33333333,Wet,2008,Porter 2012,
"India, ",Kumaun Himalaya (2050 masl),19.38,79.46,6,13.26,TN:TP,600,Bulk,1981-1982,Pandey et al. 1983,100,Bulk,1981-1982,Pandey et al. 1983,
"Fella, England",South lake district (Merlewood),53.9,-2.87,26,57,DIN:TP,2590,Bulk  ,92-64,Air Pollution Information System UK 2013,100,Bulk  ,1962-1965,Carlisle 1967,
