"Sorting.code","Mesh.size","Leaf.condition","Genus","latitude","longitude","mean_kd","mean_mean_daily_temp","Citation"
1,"coarse","senesced","Eucalyptus",40.3061,-8.3936,0.0096,11.5,"Gama et al. 2007 International Review of Hydrobiology"
3,"fine","senesced","Eucalyptus",40.3061,-8.3936,0.00895,11.5,"Gama et al. 2007 International Review of Hydrobiology"
5,"coarse","senesced","Populus",51.2842,-114.3311,0.00908333333333333,2,"Garden and Davies 1988 Freshwater Biology"
21,"coarse","senesced","Alnus",40.1,-8.2372,0.0295,10.6,"Goncalves et al. 2006 JNABS"
22,"fine","senesced","Alnus",40.1,-8.2372,0.0166,10.6,"Goncalves et al. 2006 JNABS"
23,"coarse","senesced","Alnus",37.4667,-8.0169,0.0137,13.3,"Goncalves et al. 2006 JNABS"
24,"fine","senesced","Alnus",37.4667,-8.0169,0.0093,13.3,"Goncalves et al. 2006 JNABS"
25,"coarse","senesced","Alnus",-19.0194,-43.0083,0.0136,15.5,"Goncalves et al. 2006 JNABS"
26,"fine","senesced","Alnus",-19.0194,-43.0083,0.0143,15.5,"Goncalves et al. 2006 JNABS"
27,"coarse","senesced","Protium",40.1,-8.2372,0.0056,13.7,"Goncalves et al. 2007 Freshwater Biology"
28,"fine","senesced","Protium",40.1,-8.2372,0.00465,13.7,"Goncalves et al. 2007 Freshwater Biology"
31,"coarse","senesced","Protium",-19.0028,-43.0056,0.0021,15.5,"Goncalves et al. 2007 Freshwater Biology"
32,"fine","senesced","Protium",-19.0028,-43.0056,0.0016,15.5,"Goncalves et al. 2007 Freshwater Biology"
33,"coarse","senesced","Pinus",38.0333,-8.3728,0.0039,14.3,"Graca and Pereira 1995"
34,"fine","senesced","Pinus",38.0333,-8.3728,0.0026,14.3,"Graca and Pereira 1995"
35,"coarse","senesced","Alnus",40.0789,-8.2058,0.0461,10.7,"Gulis et al. 2006 Freshwater Biology"
36,"coarse","senesced","Alnus",40.5336,-8.1542,0.1124,11,"Gulis et al. 2006 Freshwater Biology"
37,"coarse","senesced","Alnus",40.0892,-8.2017,0.0393,10.6,"Gulis et al. 2006 Freshwater Biology"
38,"coarse","senesced","Alnus",40.5347,-8.1586,0.0447,10.8,"Gulis et al. 2006 Freshwater Biology"
39,"coarse","senesced","Alnus",40.5956,-8.1675,0.0692,9.5,"Gulis et al. 2006 Freshwater Biology"
40,"coarse","senesced","Alnus",40.57,-8.1511,0.0667,10.7,"Gulis et al. 2006 Freshwater Biology"
41,"coarse","senesced","Alnus",40.5331,-8.2314,0.0211,11.5,"Gulis et al. 2006 Freshwater Biology"
42,"coarse","senesced","Alnus",40.5678,-8.1508,0.0898,11,"Gulis et al. 2006 Freshwater Biology"
