No,Citiation,lat,lon,sitecode,logk,stage,Method,climate zone,Ecosystem,Vegetation,Litter.type,Aspect,Elevation,Slope,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,Bulk density,Clay,pH,SOC,N,CEC,EVI,LAI,NPP,SFP,SBD,Initial.C,Initial.N,Initial.C.N
1,Ivarson. 1959,45.5,-77.55,1,-0.501220937,early,Litter bag,Continental/microthermal climates,Forest,Broadleaved,Leaf,South,363,0.422873974,5.05,9.2,0.231999993,1038.7,24.45,-15.05,39.5,16.75,-7.65,17.95,-8.85,935.6,96.2,59.3,17,524.8,178.9,270.7,188.4,1.09,28.6,5.2,104.2,6.952,251,3483.92627,18.22366142,6695.899902,23.20879847,0.690986574,NA,NA,NA
2,Ivarson. 1959,45.4085914,-75.669033,2,-0.173283952,mid,Litter bag,Continental/microthermal climates,Forest,Broadleaved,Leaf,North,58.64781189,0.191291958,6.55,9.3,0.228999996,1069.4,25.95,-14.55,40.5,19.75,-6.65,19.75,-7.85,963.4,94,57.6,14.9,524.8,188,273.9,202.5,1.18,27.6,6.2,66.9,7.868,225,2122.906006,11.86739826,2933.214355,17.54921973,0.636616588,NA,NA,NA
3,Hayes.1965,53,-3.183333333,3,-0.056396677,mid,Directly,Dry-winter subtropical climates,Forest,Coniferous,Leaf,West,26,2.529827356,8.95,6.2,0.350999999,413.4,18.35,0.65,17.7,6.65,12.95,14.45,3.85,1137.4,123.8,76.6,19.9,306.2,230.7,238.4,316.6,0.92,14,4.9,139.6,7.143,320,4588.680664,19.85892868,6599,8.221875131,0.609229445,588,18.6,31.61
4,Hayes.1965,53,-3.183333333,3,0.068842375,mid,Directly,Dry-winter subtropical climates,Forest,Coniferous,Leaf,West,26,2.529827356,8.95,6.2,0.350999999,413.4,18.35,0.65,17.7,6.65,12.95,14.45,3.85,1137.4,123.8,76.6,19.9,306.2,230.7,238.4,316.6,0.92,14,4.9,139.6,7.143,320,4588.680664,19.85892868,6599,8.221875131,0.609229445,352,3.95,89.11
5,Hayes.1965,53,-3.183333333,3,-0.007234467,mid,Directly,Dry-winter subtropical climates,Forest,Coniferous,Leaf,West,26,2.529827356,8.95,6.2,0.350999999,413.4,18.35,0.65,17.7,6.65,12.95,14.45,3.85,1137.4,123.8,76.6,19.9,306.2,230.7,238.4,316.6,0.92,14,4.9,139.6,7.143,320,4588.680664,19.85892868,6599,8.221875131,0.609229445,446,27,16.52
6,Hayes.1965,53,-3.183333333,3,-0.002705378,mid,Directly,Dry-winter subtropical climates,Forest,Coniferous,Leaf,West,26,2.529827356,8.95,6.2,0.350999999,413.4,18.35,0.65,17.7,6.65,12.95,14.45,3.85,1137.4,123.8,76.6,19.9,306.2,230.7,238.4,316.6,0.92,14,4.9,139.6,7.143,320,4588.680664,19.85892868,6599,8.221875131,0.609229445,543.75,23.59,23.05
7,Hayes.1965,53,-3.183333333,3,-0.146216641,mid,Directly,Dry-winter subtropical climates,Forest,Coniferous,Leaf,West,26,2.529827356,8.95,6.2,0.350999999,413.4,18.35,0.65,17.7,6.65,12.95,14.45,3.85,1137.4,123.8,76.6,19.9,1391.6,230.7,238.4,316.6,0.92,14,4.9,139.6,7.143,320,4588.680664,19.85892868,6599,8.221875131,0.609229445,307,11.59,26.49
8,Hayes.1965,53,-3.183333333,3,-0.15991901,mid,Directly,Dry-winter subtropical climates,Forest,Coniferous,Leaf,West,26,2.529827356,8.95,6.2,0.350999999,413.4,18.35,0.65,17.7,6.65,12.95,14.45,3.85,1137.4,123.8,76.6,19.9,1391.6,230.7,238.4,316.6,0.92,14,4.9,139.6,7.143,320,4588.680664,19.85892868,6599,8.221875131,0.609229445,577,9.95,57.99
9,Hayes.1965,53,-3.183333333,3,0.043126398,mid,Directly,Dry-winter subtropical climates,Forest,Coniferous,Leaf,West,26,2.529827356,8.95,6.2,0.350999999,413.4,18.35,0.65,17.7,6.65,12.95,14.45,3.85,1137.4,123.8,76.6,19.9,1391.6,230.7,238.4,316.6,0.92,14,4.9,139.6,7.143,320,4588.680664,19.85892868,6599,8.221875131,0.609229445,448.54,14.59,30.74
10,Hayes.1965,53,-3.183333333,3,-0.154244811,mid,Directly,Dry-winter subtropical climates,Forest,Coniferous,Leaf,West,26,2.529827356,8.95,6.2,0.350999999,413.4,18.35,0.65,17.7,6.65,12.95,14.45,3.85,1137.4,123.8,76.6,19.9,1391.6,230.7,238.4,316.6,0.92,14,4.9,139.6,7.143,320,4588.680664,19.85892868,6599,8.221875131,0.609229445,374.75,18,20.82
11,Hayes.1965,53,-3.183333333,3,-0.056312617,mid,Directly,Dry-winter subtropical climates,Forest,Coniferous,Leaf,West,26,2.529827356,8.95,6.2,0.350999999,413.4,18.35,0.65,17.7,6.65,12.95,14.45,3.85,1137.4,123.8,76.6,19.9,520.2,230.7,238.4,316.6,0.92,14,4.9,139.6,7.143,320,4588.680664,19.85892868,6599,8.221875131,0.609229445,553.39,25.6,21.62
12,Anderson.1973,52.33333333,1,4,0.323845883,mid,Litter bag,Dry-winter subtropical climates,Forest,Broadleaved,Leaf,South,53,0.67871803,10.05,6.7,0.345000005,462.9,20.95,1.45,19.5,7.65,6.35,16.15,4.45,639.5,64.1,40,11.9,520.2,133.4,172.5,145.1,1.13,23.4,6.7,57.4,6.524,260,3450.354736,8.778571129,5983.100098,5.345191061,0.539024472,487.1,7.7,63.2
13,Anderson.1973,52.33333333,1,4,-0.074435245,mid,Litter bag,Dry-winter subtropical climates,Forest,Broadleaved,Leaf,South,53,0.67871803,10.05,6.7,0.345000005,462.9,20.95,1.45,19.5,7.65,6.35,16.15,4.45,639.5,64.1,40,11.9,520.2,133.4,172.5,145.1,1.13,23.4,6.7,57.4,6.524,260,3450.354736,8.778571129,5983.100098,5.345191061,0.539024472,477.7,5.6,85.5
14,Gosz.1973,43.93333333,71.75,5,-0.626738494,mid,Directly,Arid climates,Forest,Broadleaved,Branch,East,770,0.199407488,11.45,11.8,0.273000002,1181.4,33.85,-9.35,43.2,12.35,24.25,26.55,-4.05,217,27.7,6.9,36.6,520.2,26,30.8,63.1,1.38,29.3,7.8,15.6,1.629,207,1213.243652,2.853571415,1186.599976,10.55935472,0.295814455,NA,9.4,NA
