"","latitude","longitude","logk","mean_mean_daily_temp_str","aet_mm_uyr","AETmonth","clay","cly_pc_uav","crp_pc_use","log10DRPc","elev","log10ero_kh_uav","for_pc_use","log10inu_pc_umx","ire_pc_use","kar_pc_use","log10lka_pc_use","log10lkv_mc_usu","log10NO3c","ocd","log10pop_ct_usu","log10ppd_pk_uav","pre_mm_uyr","log10precipmonth","pst_pc_use","log10rdd_mk_uav","log10riv_tc_usu","run_mm_syr","sand","log10sgr_dk_sav","silt","slope","slp_dg_uav","slt_pc_uav","snd_pc_uav","snowmonth","snw_pc_uyr","soc_th_uav","soilwatermonth","sphw","swc_pc_uyr","tempmonth","tmp_dc_smx","tmp_dc_uyr","log10TNdep","tns","log10Total.Soil.P","log10TPdep","tpi","urb_pc_use","wet_pc_ug1","log10TN2TP","mean_mean_daily_temp_rip","diff"
"1",46.4413889,8.5269444,-4.6548238778903,5.2,479,47,14,14,5,-1.48766433414457,2222.8125,4.06460772013063,42,1.54406804435028,0,5,0.176091259055681,1.51851393987789,0.511821421396084,6.09999990463257,0.276921132065774,0.933942602741261,1662,2.13672056715641,40,2.22788670461367,2.03904114005443,1533,50,3.22141423784234,34,25.2225799560547,30.9,40,46,1,40,78,100,5.40000009536743,100,7.3,10.2,1.8,3.02738080554128,7.5,2.48812264618093,1.14451046741041,14.828125,0,1,4.52020345903748,4.4,0.007782459
"2",46.4559722,8.5140278,-5.34070579561988,NA,479,47,15,14,5,-1.49322707490213,2201.5625,4.06460772013063,42,1.54406804435028,0,5,0.176091259055681,1.51851393987789,0.499413731222312,5.80000019073486,0.276921132065774,0.933942602741261,1662,2.13672056715641,40,2.22788670461367,2.03904114005443,1533,47,3.22141423784234,34,14.5142307281494,30.9,40,46,1,40,78,100,5.59999990463257,100,7.3,10.2,1.8,3.02738080554128,6.80000019073486,2.48812264618093,1.14451046741041,3.21875,0,1,4.52020345903748,6,0.002538358
"3",46.4519444,8.5288889,-6.19970914115436,5.2,479,47,15,14,5,-1.48766433414457,2403.4375,4.06460772013063,42,1.54406804435028,0,5,0.176091259055681,1.51851393987789,0.511821421396084,5.59999990463257,0.276921132065774,0.933942602741261,1662,2.13672056715641,40,2.22788670461367,2.03904114005443,1533,46,3.22141423784234,36,24.1556873321533,30.9,40,46,1,40,78,100,5.69999980926514,100,7.3,10.2,1.8,3.02738080554128,6.09999990463257,2.48812264618093,1.14451046741041,2.828125,0,1,4.52020345903748,3.7,0.000282323
"4",46.4469444,8.5383333,-6.42996392791457,7.9,479,47,16,14,5,-1.48766433414457,2340.9375,4.06460772013063,42,1.54406804435028,0,5,0.176091259055681,1.51851393987789,0.511821421396084,5.69999980926514,0.276921132065774,0.933942602741261,1662,2.13672056715641,40,2.22788670461367,2.03904114005443,1533,45,3.22141423784234,38,17.8317432403564,30.9,40,46,1,40,78,100,5.69999980926514,100,7.3,10.2,1.8,3.02738080554128,6.40000009536743,2.48812264618093,1.14451046741041,-13.734375,0,1,4.52020345903748,NA,-4.0254e-05
"5",56.9749667,25.6227667,-3.8907484227743,4.1,471,17,18,13,7,-1.59636005820323,195.5,1.77815125038364,39,0.301029995663981,0,0,0.633468455579587,1.97772360528885,-0.908625731262431,6.5,0.761175813155731,1.01443652783167,705,1.81291335664286,6,2.67486114073781,2.61629167441717,311,44,1.27875360095283,36,0.967207670211792,1.6,40,46,37,39,62,83,5.19999980926514,88,5.9,16.2,4.8,2.67367404272272,10.8000001907349,2.2868862662509,0.937867903316337,0.8125,0,3,4.37313926031299,3.8,0.00429278
"6",56.9786833,25.6265833,-4.07460270147805,3.7,471,17,20,13,7,-1.588106330636,191.9375,1.77815125038364,39,0.301029995663981,0,0,0.633468455579587,1.97772360528885,-0.910927286809933,6.69999980926514,0.761175813155731,1.01443652783167,705,1.81291335664286,6,2.67486114073781,2.61629167441717,311,40,1.27875360095283,38,0.914826512336731,1.6,40,46,37,39,62,83,5.30000019073486,88,5.9,16.2,4.8,2.67367404272272,11.6999998092651,2.2868862662509,0.937867903316337,0.6796875,0,3,4.37313926031299,3.5,-0.001665764
"7",57.1992167,25.1550667,-3.21317209709371,6,460,17,19,12,3,-1.59471352027356,115.9375,1.6232492903979,52,0,0,0,0.0791812460476248,0.602059991327962,-0.92751343621773,6.59999990463257,1.01426845720964,1.39851289936342,689,1.81291335664286,2,2.61489721603313,2.52767500329742,336,45,1.77085201164214,33,0.996023416519165,1.8,38,49,34,41,66,82,5.69999980926514,88,6.3,16.4,4.9,2.67367404272272,11.6999998092651,2.2868862662509,0.937867903316337,-1.0078125,0,0,4.37313926031299,4.9,0.018437169
"8",57.2025,25.2266667,-3.90655438562398,4.1,460,17,16,12,3,-1.60048399792455,139.125,1.6232492903979,52,0,0,0,0.0791812460476248,0.602059991327962,-0.926324351804754,6.59999990463257,1.01426845720964,1.39851289936342,689,1.81291335664286,2,2.61489721603313,2.52767500329742,336,52,1.77085201164214,30,1.25830471515656,1.8,38,49,34,41,66,82,5.5,88,6.3,16.4,4.9,2.67367404272272,11.6000003814697,2.2868862662509,0.937867903316337,0.3203125,0,0,4.37313926031299,3.8,-0.001395119
"9",17.7863778,97.9964361,-1.85859523822008,28.7,1053,43,29,26,6,-1.88918442719946,224.3125,3.60227708430019,20,0,0,20,0,0,-1.29237466922789,3.09999990463257,1.34713478291002,1.41173752181736,1355,1.64345267648619,0,2.60097289568675,3.17493768986541,932,42,2.72672720902657,26,7.80170774459839,17.6,28,46,0,0,35,22,5.69999980926514,65,28.8,28.8,24.5,2.89495026839126,2.40000009536743,2.4039779375281,1.72276952187274,-3.6328125,0,0,3.80951386742513,31,0.137975385
"10",17.7846028,97.9966417,-3.24693847340609,30.2,1053,43,29,26,6,-1.88918442719946,224.3125,3.60227708430019,20,0,0,20,0,0,-1.29237466922789,3.09999990463257,1.34713478291002,1.41173752181736,1355,1.64345267648619,0,2.60097289568675,3.17493768986541,932,42,2.72672720902657,26,7.80170774459839,17.6,28,46,0,0,35,22,5.69999980926514,65,28.8,28.8,24.5,2.89495026839126,2.40000009536743,2.4039779375281,1.72276952187274,-3.6328125,0,0,3.80951386742513,35.5,0.011413461
"11",17.7543,98.0148778,-2.4671511635147,26.5,1053,43,27,26,6,-1.81095040681738,238.375,3.60227708430019,20,0,0,20,0,0,-0.165979463479891,3.09999990463257,1.34713478291002,1.41173752181736,1355,1.64345267648619,0,2.60097289568675,3.17493768986541,932,43,2.72672720902657,27,11.6251802444458,17.6,28,46,0,0,35,22,5.69999980926514,65,28.8,28.8,24.5,2.89495026839126,2.5,2.27818178456752,1.72276952187274,-13.0390625,0,0,3.80951386742513,32.8,0.067449805
"12",17.7048083,98.0343694,-2.47347489005998,28.4,1052,44,26,26,7,-1.78070409951558,283.75,3.61161711055434,21,0,1,14,0,0,-0.17074020869737,3.09999990463257,1.25083457999668,1.39941410536377,1350,1.66275783168157,0,2.60422605308447,2.98843052227258,1016,44,2.62013605497376,27,12.8263778686523,17.7,28,46,0,0,36,23,5.69999980926514,65,28.7,28.7,24.4,2.89495026839126,2.79999995231628,2.27818178456752,1.72276952187274,-12.0703125,0,0,3.80951386742513,28.6,0.077431404
"13",43.42,-73.72,-2.97514562035313,8.5,735,41,9,11,0,-2.01408419174649,147.3125,2.36172783601759,88,0,0,85,1.33243845991561,0.903089986991944,-1.14385788436513,5.30000019073486,0.843917638006392,1.54124216054928,1043,1.91907809237607,0,2.75511226639507,2.11306050370129,634,37,2.04139268515822,45,5.56850814819336,7,36,50,11,30,65,73,5.30000019073486,86,8.7,20.4,6.9,2.81044283230952,8.80000019073486,2.57829923884057,0.845343207068515,-2.859375,0,50,4.60243274614762,6,0.042499271
"14",43.59,-73.64,-5.24784214669223,NA,727,41,6,9,0,-2.03899779616509,105.4375,2.30749603791321,94,0,0,81,0.857332496431269,0.778151250383644,-1.02465819550819,5.59999990463257,0.327563260187278,0.995064534156142,1047,1.93449845124357,0,2.23044892137827,1.86723171451889,642,31,2.30535136944662,52,2.18600392341614,8.8,35,55,9,29,87,76,5.5,87,8.1,19.8,6.4,2.81044283230952,9,2.57829923884057,0.845343207068515,-2.6015625,0,42,4.60243274614762,7.6,-0.006811473
"15",43.76,-73.46,-4.35882469355798,7.4,727,39,9,10,1,NA,105.0625,2.40993312333129,86,0,0,73,1.25527250510331,3.44591541395112,NA,5.19999980926514,1.11674053545294,1.36554414002947,1027,1.91381385238372,0,2.52244423350632,2.9304395947667,623,30,2.14612803567824,40,2.39552617073059,8,37,51,6,28,68,72,5.80000019073486,86,8.5,20.4,6.7,2.81044283230952,7.30000019073486,2.65114601987935,0.845343207068515,-2.75,0,48,4.60243274614762,7.8,0.004173079
"16",43.64,-73.51,-3.48880992840903,9.3,729,40,11,11,0,NA,137.4375,2.37839790094814,88,0,0,72,1.27646180417324,1.17609125905568,NA,5.5,0.942652811693212,1.28582725275327,1037,1.92427928606188,0,2.51321760006794,2.74003882196938,628,30,2.10720996964787,45,7.33490514755249,8.1,36,51,10,29,71,74,5.30000019073486,86,8.3,20.2,6.7,2.81044283230952,8.39999961853027,2.57829923884057,0.845343207068515,-3.84375,0,48,4.60243274614762,8,0.014521397
"17",47.280448,-88.517331,-3.53121185732404,8.7,575,48,11,10,0,NA,196.8125,1.23044892137827,70,1.60205999132796,0,0,1.51587384371168,0,NA,5.69999980926514,0.266466895440241,0.85101360682367,813,1.92941892571429,0,2.20951501454263,1.916106373916,834,61,1.88081359228079,25,3.04303503036499,1.6,37,51,3,36,76,65,5.40000009536743,84,12.4,18.2,4.1,2.68432420113714,8.30000019073486,NA,0.767709218253075,-1.15625,0,27,4.55394810379068,8.8,0.027426286
"18",47.124086,-88.644123,-2.24415506577498,7.8,587,49,10,9,3,-1.90616975333496,266.6875,2.16136800223497,72,1.04139268515823,0,0,0.278753600952829,0.698970004336019,-0.0982891333176424,5.69999980926514,0.856426772470244,1.66699506794876,816,1.92941892571429,1,2.91169015875386,1.87860795649383,859,65,2.08635983067475,24,1.73584496974945,2.1,37,54,2,31,64,64,5.09999990463257,84,12.7,18.5,4.3,2.68432420113714,6.40000009536743,NA,0.767709218253075,-1.4765625,2,25,4.55394810379068,NA,0.103157956
