"","Genus","N_Litter_Mn","P_Litter_Mn","C_Litter_Mn","Lignin_Litter_Mn","Cellulose_Litter_Mn","CtoN_Litter_Mn","NtoP_Litter_Mn","X","N_Leaf_Mn","N_Leaf_Med","P_Leaf_Mn","P_Leaf_Med","NtoP_Leaf_Mn","NtoP_Leaf_Med","Thick_Mn","Thick_Med","C_Leaf_Mn","C_Leaf_Med","CtoN_Leaf_Mn","CtoN_Leaf_Med","Ca_Leaf_Mn","Ca_Leaf_Med"
"1","Acacia",2,0.1,NA,30,49,NA,70.3,1,2.738942568,2.736815473,0.110877822,0.109744104,25.25294084,25.12782351,0.364190343,0.360053032,45.54727016,45.72221885,19.710362,19.81421709,1.172764154,1.158299692
"2","Acer",1.01375,0.165882352941176,45.1916666666667,18.68125,19.45,63.8263157894737,27.8578947368421,2,2.111186762,2.120663928,0.186428992,0.184740837,12.2938004,12.10157442,0.134027422,0.132217575,43.20133221,43.29557577,31.23377584,30.99299573,1.341063492,1.307
"3","Aesculus",NA,NA,NA,29.4,29.3,53.4,32.7,3,2.075727316,2.13266,0.29219962,0.290754535,10.30894915,10.96980622,0.142972222,0.139277778,44.20683333,44.2735,44,44,1.548,1.565
"4","Alchornea",1.22,0.07,NA,NA,NA,NA,40.2333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Alnus",2.44722222222222,0.161219512195122,48.825,13.65,8.7,22.0166666666667,59.8093023255814,4,2.738034762,2.757721073,0.184034961,0.181013556,14.71345539,14.69238999,0.159339727,0.160189109,48.90260734,49.35445783,24.13156166,17.6572855,1.080566667,1.0887
"6","Alstonia",1.5,NA,47.9,NA,NA,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Apodytes",1.53,0.08,NA,NA,NA,NA,42.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Aporusa",1.02,0.05,NA,NA,NA,NA,45.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Ardisia",1.21,0.06,NA,NA,NA,NA,44.7,5,1.456717944,1.454352826,0.141329867,0.137669083,18.80355137,18.80355137,0.230541642,0.231346154,43.43730293,43.4468032,36.70390181,36.70390181,1.201614583,1.314427083
"10","Aristotelia",NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
